2014-09-28 21:04:46,171 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@15ee86f2: startup date [Sun Sep 28 21:04:46 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2014-09-28 21:04:54,396 | INFO  | PListStore:[C:\activemq\apache-activemq-5.10.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2014-09-28 21:04:54,598 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\activemq\apache-activemq-5.10.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-09-28 21:04:55,606 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:GERRY-ASUS-51335-1411909495255-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-09-28 21:04:55,803 | INFO  | Listening for connections at: tcp://GERRY-ASUS:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-09-28 21:04:55,848 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-09-28 21:04:55,893 | INFO  | Listening for connections at: amqp://GERRY-ASUS:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-09-28 21:04:55,918 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-09-28 21:04:55,966 | INFO  | Listening for connections at: stomp://GERRY-ASUS:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-09-28 21:04:55,987 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-09-28 21:04:56,036 | INFO  | Listening for connections at: mqtt://GERRY-ASUS:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-09-28 21:04:56,063 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-09-28 21:04:57,127 | INFO  | Listening for connections at ws://GERRY-ASUS:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2014-09-28 21:04:57,135 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
